Brasil, CONMEBOL, 99, ns, Alisson, Daniel Alves, Marquinhos, Éder Militão, Guilherme Arana, Casemiro, Fred, Paquetá, Raphinha, Neymar, Vini Jr
Suíça, UEFA, 78, ns, Sommer, Widmer, Akanji, Cömert, R. Rodríguez, Freuler, Xhaka, Aebischer, Shaqiri, Embolo, Zuber
Estados Unidos, CONCACAF, 78, ns, Z. Steffen, A. Robinson, M. Robinson, W. Zimmerman, D. Yedlin, K. Acosta, T. Adams, Y. Musah, C. Pulisic, R. Pepi, T. Weah
Croácia, UEFA, 77, ns, Ivušić, Juranović, Šutalo, Erlić, Stanisic, Kovačić, Brozović, Modrić, Brekalo, Budimir, Pašalić
País de Gales, UEFA, 74, ns, Hennessey, Mepham, Rodon, Davies, Ampadu, Roberts, Williams, Allen, Wilson, Bale, James
Senegal, CAF, 73, ns, E. Mendy, Y. Sabaly, P. Cissé, K. Koulibaly, S. Ciss, B. Sarr, N. Mendy, I. Gueye, B. Dia, Mané, I. Sarr
Irã, AFC, 72, ns, A. Abedzadeh, S. Moharrami, M. Hosseini, O. Noorafkan, E. Hajsafi, A. Gholizadeh, S. Ezatolahi, A. Noorollahi, A. Jahanbakhsh, S. Azmoun, M. Taremi 
Austrália, AFC, 62, ns, Ryan, Atkinson, Wright, Rowles, Behich, Mooy, Boyle, Hrustic, Irvine, Leckie, Duke
Japão, AFC, 71, ns, Schmidt, Yamane, Taniguchi, Yoshida, H. Ito, G. Haraguchi, W. Endo, D. Kamada, R. Doan, T. Asano, K. Mitoma
Marrocos, CAF, 70, ns, Y. Bounou, A. Hakimi, R. Saïss, N. Aguerd, A. Masina, S. Mmaee, A. Ounahi, S. Amallah, I. Louza, S. Boufal, Z. Aboukhlal
Sérvia, UEFA, 70, ns, V. Savić, S. Pavlovic, M. Veljkovic, N. Milenković, F. Mladenović, M. Grujić, N. Maksimović, A. Živković, S. Lukić, D. Tadić, A. Mitrović 
Polônia, UEFA, 70, ns, Grabara, Bereszyński, Glik, Bednarek, Puchacz, Klich, Krychowiak, Góralski, Zieliński, Lewandowski, Buksa
Coréia do Sul, AFC, 67, ns, Kim Seung-Gyu, Kim Tae-Hwan, Kim Min-Jae, Y. Kim, Kim Jin-Su, Jung Woo-Young, C. Kwon, H. Hwang, Lee Jae-Sung, H. Son, Hwang Eui-Jo
Costa Rica, CONCACAF, 66, ns, K. Navas, K. Fuller, K. Watson, F. Calvo, R. Matarrita, G. Torres, C. Borges, O. Galo, J. Campbell, A. Contreras, J. Venegas
Tunísia, CAF, 66, ns, A. Dahmen, A. Abdi, M. Talbi, B. Ifa, M. Dräger, F. Sassi, A. Laïdouni, M. Ben Romdhane, Y. Msakni, T. Khenissi, A. Ben Slimane
Camarões, CAF, 64, ns, Onana, C. Fai, J. Castelletto, M. Ngadeu, N. Tolo, M. Hongla, S. Oum Gwet, J. Onana, K. Toko Ekambi, E. Choupo-Moting, V. Aboubakar
Canadá, CONCACAF, 64, ns, M. Crépeau, R. Laryea, K. Miller, S. Vitória, A. Johnston, S. Eustáquio, M. Kaye, A. Davies, J. Osorio, T. Buchanan, J. David 
Equador, CONMEBOL, 61, ns, Galíndez, Castillo, Arboleda, Hincapié, Estupiñán, A. Franco, C. Gruezo, M. Caicedo, G. Plata, M. Estrada, R. Ibarra
Arábia Saudita, AFC, 61, ns, Mohammed Al Owais, Mohammed Al Burayk, Hassan Al Tambakti, Abdullah Madu, Y. Alshahrani, Mohammed Kanno, S. Alnaji, Hattan Babhir, S. Alfaraj, S. Aldawsari, F. Albrikan
Qatar, AFC, 61, sede, Saad Al Sheeb, H. Ahmed, Abdelkarim Hassan, Bassam Hisham, Tarek Salman, Pedro Miguel, Akram Afif, Abdulaziz Hatem, Karim Boudiaf, Hassan Al Heidos, Almoez Ali
Gana, CAF, 56, ns, J. Wollacott, A. Baba, A. Djiku, D. Amartey, A. Yiadom, I. Baba, T. Partey, K. Sulemana, A. Ayew, J. Paintsil, J. Ayew
